ResidentID,Age,ModeOfTransport,DailyDistance,CarbonEmissionFactor, AverageDayPerMonth, AgeGroup, TotalMonthlyEmission
A061,36,Car,14.00,0.21,28,Working Adults (Early Career),82.32
A062,41,Bus,13.00,0.05,24,Working Adults (Early Career),15.60
A063,31,Bicycle,7.00,0.00,30,Working Adults (Early Career),0.00
A064,58,Walking,4.00,0.00,23,Working Adults (Late Career),0.00
A065,27,Car,16.00,0.21,29,Working Adults (Early Career),97.44
A066,38,Bus,12.00,0.05,23,Working Adults (Early Career),13.80
A067,46,Car,19.00,0.21,27,Working Adults (Late Career),107.73
A068,32,Bicycle,8.00,0.00,22,Working Adults (Early Career),0.00
A069,54,Walking,3.00,0.00,22,Working Adults (Late Career),0.00
A070,29,Car,15.00,0.21,25,Working Adults (Early Career),78.75
A071,37,Car,14.00,0.21,27,Working Adults (Early Career),79.38
A072,44,Bus,12.00,0.05,23,Working Adults (Early Career),13.80
A073,30,Bicycle,9.00,0.00,20,Working Adults (Early Career),0.00
A074,56,Walking,4.00,0.00,25,Working Adults (Late Career),0.00
A075,28,Car,18.00,0.21,30,Working Adults (Early Career),113.40
A076,35,Bus,10.00,0.05,25,Working Adults (Early Career),12.50
A077,49,Car,21.00,0.21,23,Working Adults (Late Career),101.43
A078,33,Bicycle,6.00,0.00,27,Working Adults (Early Career),0.00
A079,51,Walking,5.00,0.00,26,Working Adults (Late Career),0.00
A080,27,Car,14.00,0.21,24,Working Adults (Early Career),70.56
A081,40,Car,15.00,0.21,26,Working Adults (Early Career),81.90
A082,43,Bus,13.00,0.05,22,Working Adults (Early Career),14.30
A083,29,Bicycle,8.00,0.00,22,Working Adults (Early Career),0.00
A084,57,Walking,3.00,0.00,27,Working Adults (Late Career),0.00
A085,26,Car,16.00,0.21,27,Working Adults (Early Career),90.72
A086,38,Bus,12.00,0.05,27,Working Adults (Early Career),16.20
A087,46,Car,20.00,0.21,27,Working Adults (Late Career),113.40
A088,32,Bicycle,7.00,0.00,28,Working Adults (Early Career),0.00
A089,54,Walking,4.00,0.00,27,Working Adults (Late Career),0.00
A090,28,Car,15.00,0.21,24,Working Adults (Early Career),75.60
A091,36,Car,14.00,0.21,30,Working Adults (Early Career),88.20
A092,42,Bus,11.00,0.05,30,Working Adults (Early Career),16.50
A093,31,Bicycle,8.00,0.00,23,Working Adults (Early Career),0.00
A094,55,Walking,3.00,0.00,26,Working Adults (Late Career),0.00
A095,27,Car,14.00,0.21,20,Working Adults (Early Career),58.80
A096,39,Bus,12.00,0.05,26,Working Adults (Early Career),15.60
A097,48,Car,19.00,0.21,20,Working Adults (Late Career),79.80
A098,34,Bicycle,7.00,0.00,28,Working Adults (Early Career),0.00
A099,52,Walking,5.00,0.00,26,Working Adults (Late Career),0.00
A100,29,Car,15.00,0.21,21,Working Adults (Early Career),66.15
A101,30,Car,16.00,0.21,29,Working Adults (Early Career),97.44
A102,35,Bus,11.00,0.05,25,Working Adults (Early Career),13.75
A103,32,Bicycle,8.00,0.00,23,Working Adults (Early Career),0.00
A104,53,Walking,4.00,0.00,26,Working Adults (Late Career),0.00
A105,26,Car,17.00,0.21,27,Working Adults (Early Career),96.39
A106,37,Bus,12.00,0.05,23,Working Adults (Early Career),13.80
A107,47,Car,20.00,0.21,25,Working Adults (Late Career),105.00
A108,33,Bicycle,6.00,0.00,21,Working Adults (Early Career),0.00
A109,55,Walking,5.00,0.00,22,Working Adults (Late Career),0.00
A110,28,Car,15.00,0.21,29,Working Adults (Early Career),91.35
A111,36,Car,14.00,0.21,27,Working Adults (Early Career),79.38
A112,41,Bus,13.00,0.05,27,Working Adults (Early Career),17.55
A113,31,Bicycle,7.00,0.00,24,Working Adults (Early Career),0.00
A114,58,Walking,4.00,0.00,22,Working Adults (Late Career),0.00
A115,27,Car,16.00,0.21,22,Working Adults (Early Career),73.92
A116,38,Bus,12.00,0.05,21,Working Adults (Early Career),12.60
A117,46,Car,19.00,0.21,24,Working Adults (Late Career),95.76
A118,32,Bicycle,8.00,0.00,20,Working Adults (Early Career),0.00
A119,54,Walking,3.00,0.00,26,Working Adults (Late Career),0.00
A120,29,Car,15.00,0.21,21,Working Adults (Early Career),66.15
A121,37,Car,14.00,0.21,24,Working Adults (Early Career),70.56
A122,44,Bus,12.00,0.05,25,Working Adults (Early Career),15.00
A123,30,Bicycle,9.00,0.00,25,Working Adults (Early Career),0.00
A124,56,Walking,4.00,0.00,26,Working Adults (Late Career),0.00
A125,28,Car,18.00,0.21,25,Working Adults (Early Career),94.50
A126,35,Bus,10.00,0.05,22,Working Adults (Early Career),11.00
A127,49,Car,21.00,0.21,30,Working Adults (Late Career),132.30
A128,33,Bicycle,6.00,0.00,24,Working Adults (Early Career),0.00
A129,51,Walking,5.00,0.00,27,Working Adults (Late Career),0.00
A130,27,Car,14.00,0.21,25,Working Adults (Early Career),73.50
A131,40,Car,15.00,0.21,29,Working Adults (Early Career),91.35
A132,43,Bus,13.00,0.05,27,Working Adults (Early Career),17.55
A133,29,Bicycle,8.00,0.00,21,Working Adults (Early Career),0.00
A134,57,Walking,3.00,0.00,28,Working Adults (Late Career),0.00
A135,26,Car,16.00,0.21,30,Working Adults (Early Career),100.80
A136,38,Bus,12.00,0.05,25,Working Adults (Early Career),15.00
A137,46,Car,20.00,0.21,20,Working Adults (Late Career),84.00
A138,32,Bicycle,7.00,0.00,29,Working Adults (Early Career),0.00
A139,54,Walking,4.00,0.00,20,Working Adults (Late Career),0.00
A140,28,Car,15.00,0.21,28,Working Adults (Early Career),88.20
A141,36,Car,14.00,0.21,20,Working Adults (Early Career),58.80
A142,42,Bus,11.00,0.05,27,Working Adults (Early Career),14.85
A143,31,Bicycle,8.00,0.00,25,Working Adults (Early Career),0.00
A144,55,Walking,3.00,0.00,27,Working Adults (Late Career),0.00
A145,27,Car,14.00,0.21,21,Working Adults (Early Career),61.74
A146,39,Bus,12.00,0.05,29,Working Adults (Early Career),17.40
A147,48,Car,19.00,0.21,20,Working Adults (Late Career),79.80
A148,34,Bicycle,7.00,0.00,29,Working Adults (Early Career),0.00
A149,52,Walking,5.00,0.00,25,Working Adults (Late Career),0.00
A150,29,Car,15.00,0.21,30,Working Adults (Early Career),94.50
A151,30,Car,16.00,0.21,21,Working Adults (Early Career),70.56
A152,35,Bus,11.00,0.05,27,Working Adults (Early Career),14.85
A153,32,Bicycle,8.00,0.00,23,Working Adults (Early Career),0.00
A154,53,Walking,4.00,0.00,26,Working Adults (Late Career),0.00
A155,26,Car,17.00,0.21,26,Working Adults (Early Career),92.82
A156,37,Bus,12.00,0.05,23,Working Adults (Early Career),13.80
A157,47,Car,20.00,0.21,20,Working Adults (Late Career),84.00
A158,33,Bicycle,6.00,0.00,28,Working Adults (Early Career),0.00
A159,55,Walking,5.00,0.00,25,Working Adults (Late Career),0.00
A160,28,Car,15.00,0.21,22,Working Adults (Early Career),69.30
A161,36,Car,14.00,0.21,22,Working Adults (Early Career),64.68
A162,41,Bus,13.00,0.05,22,Working Adults (Early Career),14.30
A163,31,Bicycle,7.00,0.00,27,Working Adults (Early Career),0.00
A164,58,Walking,4.00,0.00,25,Working Adults (Late Career),0.00
A165,27,Car,16.00,0.21,29,Working Adults (Early Career),97.44
A166,38,Bus,12.00,0.05,27,Working Adults (Early Career),16.20
A167,46,Car,19.00,0.21,29,Working Adults (Late Career),115.71
A168,32,Bicycle,8.00,0.00,21,Working Adults (Early Career),0.00
A169,54,Walking,3.00,0.00,27,Working Adults (Late Career),0.00
A170,29,Car,15.00,0.21,26,Working Adults (Early Career),81.90
A171,37,Car,14.00,0.21,24,Working Adults (Early Career),70.56
A172,44,Bus,12.00,0.05,26,Working Adults (Early Career),15.60
A173,30,Bicycle,9.00,0.00,21,Working Adults (Early Career),0.00
A174,56,Walking,4.00,0.00,21,Working Adults (Late Career),0.00
A175,28,Car,18.00,0.21,27,Working Adults (Early Career),102.06
A176,35,Bus,10.00,0.05,23,Working Adults (Early Career),11.50
A177,49,Car,21.00,0.21,27,Working Adults (Late Career),119.07
A178,33,Bicycle,6.00,0.00,30,Working Adults (Early Career),0.00
A179,51,Walking,5.00,0.00,28,Working Adults (Late Career),0.00
A180,27,Car,14.00,0.21,20,Working Adults (Early Career),58.80
A181,40,Car,15.00,0.21,30,Working Adults (Early Career),94.50
A182,43,Bus,13.00,0.05,21,Working Adults (Early Career),13.65
A183,29,Bicycle,8.00,0.00,20,Working Adults (Early Career),0.00
A184,57,Walking,3.00,0.00,23,Working Adults (Late Career),0.00
A185,26,Car,16.00,0.21,28,Working Adults (Early Career),94.08
A186,38,Bus,12.00,0.05,27,Working Adults (Early Career),16.20
A187,46,Car,20.00,0.21,21,Working Adults (Late Career),88.20
A188,32,Bicycle,7.00,0.00,27,Working Adults (Early Career),0.00
A189,54,Walking,4.00,0.00,25,Working Adults (Late Career),0.00
A190,28,Car,15.00,0.21,28,Working Adults (Early Career),88.20
A191,36,Car,14.00,0.21,23,Working Adults (Early Career),67.62
A192,42,Bus,11.00,0.05,29,Working Adults (Early Career),15.95
A193,31,Bicycle,8.00,0.00,23,Working Adults (Early Career),0.00
A194,55,Walking,3.00,0.00,29,Working Adults (Late Career),0.00
A195,27,Car,14.00,0.21,28,Working Adults (Early Career),82.32
A196,39,Bus,12.00,0.05,25,Working Adults (Early Career),15.00
A197,48,Car,19.00,0.21,20,Working Adults (Late Career),79.80
A198,34,Bicycle,7.00,0.00,24,Working Adults (Early Career),0.00
A199,52,Walking,5.00,0.00,22,Working Adults (Late Career),0.00
A200,29,Car,15.00,0.21,25,Working Adults (Early Career),78.75
